Organism	Name	Group	Condition	Description
Acidovorax sp. GW101-3H11	set4IT092	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Acidovorax sp. GW101-3H11	set4IT086	nitrogen source	D-Alanine	D-Alanine (N)
Acidovorax sp. GW101-3H11	set4IT078	nitrogen source	L-Alanine	L-Alanine (N)
Acidovorax sp. GW101-3H11	set4IT070	nitrogen source	L-Arginine	L-Arginine (N)
Acidovorax sp. GW101-3H11	set4IT075	nitrogen source	L-Glutamine	L-Glutamine (N)
Acidovorax sp. GW101-3H11	set4IT071	nitrogen source	L-Histidine	L-Histidine (N)
Acidovorax sp. GW101-3H11	set4IT080	nitrogen source	L-Isoleucine	L-Isoleucine (N)
Acidovorax sp. GW101-3H11	set4IT081	nitrogen source	L-Leucine	L-Leucine (N)
Acidovorax sp. GW101-3H11	set4IT083	nitrogen source	L-Phenylalanine	L-Phenylalanine (N)
Acidovorax sp. GW101-3H11	set4IT077	nitrogen source	L-Proline	L-Proline (N)
Acidovorax sp. GW101-3H11	set4IT072	nitrogen source	L-Serine	L-Serine (N)
Acidovorax sp. GW101-3H11	set4IT073	nitrogen source	L-Threonine	L-Threonine (N)
Acidovorax sp. GW101-3H11	set4IT084	nitrogen source	L-tyrosine disodium salt	L-tyrosine (N)
Acidovorax sp. GW101-3H11	set4IT090	nitrogen source	Uridine	Uridine (N)
Azospirillum brasilense Sp245	set2IT033	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Azospirillum brasilense Sp245	set3IT081	nitrogen source	Ammonium chloride	Ammonium chloride (N)
Azospirillum brasilense Sp245	set2IT031	nitrogen source	Cytosine	Cytosine (N)
Azospirillum brasilense Sp245	set3IT079	nitrogen source	Cytosine	Cytosine (N)
Azospirillum brasilense Sp245	set2IT027	nitrogen source	D-Alanine	D-Alanine (N)
Azospirillum brasilense Sp245	set3IT075	nitrogen source	D-Alanine	D-Alanine (N)
Azospirillum brasilense Sp245	set2IT032	nitrogen source	Glucuronamide	Glucuronamide (N)
Azospirillum brasilense Sp245	set3IT080	nitrogen source	Glucuronamide	Glucuronamide (N)
Azospirillum brasilense Sp245	set2IT021	nitrogen source	L-Asparagine	L-Asparagine (N)
Azospirillum brasilense Sp245	set3IT069	nitrogen source	L-Asparagine	L-Asparagine (N)
